BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PSJ	7 a 12x	TPV	6.258.010,88	10.371.188,60	14.053.626,85	17.959.684,54	51.211.809,00	64.940.307,83	73.074.468,04	80.093.407,63	94.033.984,80	111.485.728,77	132.198.178,18	137.192.074,06	18887841	28119052	39889181	38160668	47485940	56370490	65295759	72594788	79067291	84967321	92289968	95830061
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PSJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	57.384,45	0	0	0	1000	347573	432509	513431	594724	661204	720157	773895	840591	872835
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	1x	TPV	0	0	0	0	0	58,9	400	0	153,9	1	2.266,00	1.766,32	10	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	2 a 6x	TPV	0	280	2.402,70	0	0	0	2.679,57	3.830,00	638	1.320,00	5.291,70	7.634,00	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	7 a 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	account_money	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	bank_transfer	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	ticket	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	others	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34788	44218	50950	57571	65088	73510	81648	89563	89094
POINT	SMB	-	AQUISICAO	-	TTP	TTP	digital_currency	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	debit_card	-	-	TPV	620.937,08	1.194.729,38	2.023.764,85	1.872.031,58	3.068.890,30	4.575.216,84	5.902.471,55	8.248.573,61	8.045.412,38	9.230.193,06	11.403.934,67	14.233.983,48	1521589	2817061	4698380	4957710	6301641	7261061	8204584	9275866	10476038	11635839	12763863	12697025
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	1x	1x	TPV	4.036.563,67	11.313.460,27	19.395.262,39	23.364.171,53	38.765.127,51	54.579.962,30	74.028.986,68	85.977.090,19	97.770.636,68	114.896.767,20	142.732.725,43	154.890.617,55	14296987	30407832	54103707	55853639	70994380	81803219	92432972	104502048	118023201	131089538	143797870	143044872
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PCJ	2 a 6x	TPV	1.145.869,68	1.982.193,19	3.222.263,70	3.491.294,75	3.160.441,59	4.339.766,43	7.718.903,05	8.935.899,19	9.973.219,03	11.467.234,89	14.704.923,95	15.948.223,71	3773308	6263147	9491215	11429516	14527817	16739666	18914867	21384603	24151481	26825289	29425838	29271749
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PCJ	7 a 12x	TPV	1.824.260,97	2.587.009,39	3.458.269,71	5.073.144,68	5.470.838,95	5.791.234,75	9.409.223,75	9.779.376,01	11.332.864,07	12.254.611,09	11.574.808,02	12.746.352,13	5562512	7496780	11342197	12918154	16419992	18919923	21378434	24169840	27297091	30319149	33258406	33084248
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	2.332,02	0	0	0	0	344138	437427	504025	569519	643882	727192	807699	886001	881361
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PSJ	2 a 6x	TPV	793.336,54	1.307.293,45	2.073.478,57	2.534.564,78	8.308.844,57	13.961.822,48	18.506.328,45	19.692.066,37	24.721.933,54	31.202.516,60	43.572.422,92	46.298.880,01	3958838	7847856	12946421	14234517	18093194	20847868	23556902	26632753	30078672	33408678	36647446	36455542
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PSJ	7 a 12x	TPV	1.192.456,19	2.590.633,58	3.887.453,61	4.464.602,06	13.806.331,55	20.394.347,65	25.005.651,18	22.452.050,18	27.566.599,15	33.125.115,46	41.732.149,77	46.601.266,29	7535843	11867642	20633886	20133724	25591552	29487846	33319584	37670159	42544168	47254229	51835239	51563803
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PSJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	76.376,28	0	0	0	38000	349333	444030	511633	578116	653601	738168	819891	899374	894664
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	1x	TPV	290	0	4	0	0	0	0	331,9	230	0	866	2.053,00	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	2 a 6x	TPV	0	0	0	0	0	0	0	0	8.071,50	5.785,00	10.807,50	9.443,00	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	7 a 12x	TPV	0	0	0	0	0	3.250,00	0	0	0	0	0	19.319,00	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	AQUISICAO	-	TTP	TTP	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	account_money	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
