SUM de VALUE_AMOUNT										YEARMONTH_ID																							
BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	VERSION_DESC	DEVICE_TAP_TYPE	CHANNEL_DESC	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	7 a 12x	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	7 a 12x	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	Maior que 12x	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	Maior que 12x	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	credit_card	Maior que 12x	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	debit_card	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	debit_card	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	debit_card	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	digital_currency	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	digital_currency	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	digital_currency	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	others	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	ticket	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
