MES	CARTEIRA	PRODUTO	CANAL	SUB_CANAL	MOP	SUM de TPV
202404	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	CREDIT_CARD	15190894,88
202404	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	DEBIT_CARD	20333346
202404	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	ACCOUNT_MONEY	11953831,2
202404	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	CREDIT_CARD	33549667,8
202404	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	DEBIT_CARD	24014070
202404	AQUISICAO	POINT	CANAIS DIGITAIS	TO	ACCOUNT_MONEY	8340561,58
202404	AQUISICAO	POINT	CANAIS DIGITAIS	TO	CREDIT_CARD	73620838,45
202404	AQUISICAO	POINT	CANAIS DIGITAIS	TO	DEBIT_CARD	55179357
202404	AQUISICAO	POINT	FDV PROPRIA		ACCOUNT_MONEY	7002785,2
202404	AQUISICAO	POINT	FDV PROPRIA		CREDIT_CARD	94263389,79
202404	AQUISICAO	POINT	FDV PROPRIA		DEBIT_CARD	55831677
202404	AQUISICAO	POINT	FDV TERCEIRA		ACCOUNT_MONEY	7587454,95
202404	AQUISICAO	POINT	FDV TERCEIRA		CREDIT_CARD	24326625,03
202404	AQUISICAO	POINT	FDV TERCEIRA		DEBIT_CARD	23835320
202404	AQUISICAO	POINT	MgM		ACCOUNT_MONEY	11379065,55
202404	AQUISICAO	POINT	MgM		CREDIT_CARD	27883253,43
202404	AQUISICAO	POINT	MgM		DEBIT_CARD	29320369
202404	AQUISICAO	POINT	RESELLERS		ACCOUNT_MONEY	8470791,73
202404	AQUISICAO	POINT	RESELLERS		CREDIT_CARD	45935469,3
202404	AQUISICAO	POINT	RESELLERS		DEBIT_CARD	36067153
202404	AQUISICAO	POINT	TELEVENDAS		ACCOUNT_MONEY	9994120,43
202404	AQUISICAO	POINT	TELEVENDAS		CREDIT_CARD	18659365,56
202404	AQUISICAO	POINT	TELEVENDAS		DEBIT_CARD	19150731
202404	AQUISICAO	QR			ACCOUNT_MONEY	39574888
202404	AQUISICAO	QR			CREDIT_CARD	1996133,85
202404	AQUISICAO	QR			DEBIT_CARD	190,7
202404	AQUISICAO	QR			PIX	215955415
202404	AQUISICAO	TAP			ACCOUNT_MONEY	819969,05
202404	AQUISICAO	TAP			CREDIT_CARD	106333089,4
202404	AQUISICAO	TAP			DEBIT_CARD	5696758,87
202404	ENGAGEMENT	OP - CHECKOUT			ACCOUNT_MONEY	7211536,79
202404	ENGAGEMENT	OP - CHECKOUT			CREDIT_CARD	160827479,7
202404	ENGAGEMENT	OP - CHECKOUT			DEBIT_CARD	15,48
202404	ENGAGEMENT	OP - CHECKOUT			PIX	248264351
202404	ENGAGEMENT	OP - CHECKOUT			TICKET	15226343
202404	ENGAGEMENT	OP - LINK			ACCOUNT_MONEY	5086760,44
202404	ENGAGEMENT	OP - LINK			CREDIT_CARD	765336679,3
202404	ENGAGEMENT	OP - LINK			DEBIT_CARD	198,45
202404	ENGAGEMENT	OP - LINK			PIX	13531761
202404	ENGAGEMENT	OP - LINK			TICKET	9455731
202404	ENGAGEMENT	POINT			ACCOUNT_MONEY	15749514,3
202404	ENGAGEMENT	POINT			CREDIT_CARD	4470525141
202404	ENGAGEMENT	POINT			DEBIT_CARD	2817729077
202404	ENGAGEMENT	QR			ACCOUNT_MONEY	81997479
202404	ENGAGEMENT	QR			CREDIT_CARD	21794141,12
202404	ENGAGEMENT	QR			DEBIT_CARD	19,81
202404	ENGAGEMENT	QR			PIX	1099821136
202404	ENGAGEMENT	TAP			ACCOUNT_MONEY	52646315,6
202404	ENGAGEMENT	TAP			CREDIT_CARD	118138760,4
202404	ENGAGEMENT	TAP			DEBIT_CARD	6589197,02
202405	AQUISICAO	OP - CHECKOUT			ACCOUNT_MONEY	24939397,24
202405	AQUISICAO	OP - CHECKOUT			CREDIT_CARD	11451938,08
202405	AQUISICAO	OP - CHECKOUT			DEBIT_CARD	725
202405	AQUISICAO	OP - CHECKOUT			PIX	160806339
202405	AQUISICAO	OP - CHECKOUT			TICKET	1032991,7
202405	AQUISICAO	OP - LINK			ACCOUNT_MONEY	71371425,77
202405	AQUISICAO	OP - LINK			CREDIT_CARD	141854467,3
202405	AQUISICAO	OP - LINK			DEBIT_CARD	42,99
202405	AQUISICAO	OP - LINK			PIX	3883431
202405	AQUISICAO	OP - LINK			TICKET	5827310
202405	AQUISICAO	POINT	CANAIS DIGITAIS	APP	ACCOUNT_MONEY	7809127,05
202405	AQUISICAO	POINT	CANAIS DIGITAIS	APP	CREDIT_CARD	73646053,93
202405	AQUISICAO	POINT	CANAIS DIGITAIS	APP	DEBIT_CARD	41502147
202405	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	ACCOUNT_MONEY	9992492,74
202405	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	CREDIT_CARD	22920063,27
202405	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	DEBIT_CARD	29310301
202405	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	ACCOUNT_MONEY	10523667,8
202405	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	CREDIT_CARD	45349870,23
202405	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	DEBIT_CARD	32497156
202405	AQUISICAO	POINT	CANAIS DIGITAIS	TO	ACCOUNT_MONEY	7843487,8
202405	AQUISICAO	POINT	CANAIS DIGITAIS	TO	CREDIT_CARD	98950443,22
202405	AQUISICAO	POINT	CANAIS DIGITAIS	TO	DEBIT_CARD	76806897
202405	AQUISICAO	POINT	FDV PROPRIA		ACCOUNT_MONEY	6553641,8
202405	AQUISICAO	POINT	FDV PROPRIA		CREDIT_CARD	132404890,2
202405	AQUISICAO	POINT	FDV PROPRIA		DEBIT_CARD	75602953
202405	AQUISICAO	POINT	FDV TERCEIRA		ACCOUNT_MONEY	6094453,45
202405	AQUISICAO	POINT	FDV TERCEIRA		CREDIT_CARD	46766136,56
202405	AQUISICAO	POINT	FDV TERCEIRA		DEBIT_CARD	38796118
202405	AQUISICAO	POINT	MgM		ACCOUNT_MONEY	11228993,77
202405	AQUISICAO	POINT	MgM		CREDIT_CARD	39398078,21
202405	AQUISICAO	POINT	MgM		DEBIT_CARD	40614204
202405	AQUISICAO	POINT	RESELLERS		ACCOUNT_MONEY	9098319,57
202405	AQUISICAO	POINT	RESELLERS		CREDIT_CARD	60027573,42
202405	AQUISICAO	POINT	RESELLERS		DEBIT_CARD	49186917
202405	AQUISICAO	POINT	TELEVENDAS		ACCOUNT_MONEY	9438925,76
202405	AQUISICAO	POINT	TELEVENDAS		CREDIT_CARD	31880550,25
202405	AQUISICAO	POINT	TELEVENDAS		DEBIT_CARD	28669484
202405	AQUISICAO	QR			ACCOUNT_MONEY	51598973
202405	AQUISICAO	QR			CREDIT_CARD	2358304,44
202405	AQUISICAO	QR			DEBIT_CARD	359,11
202405	AQUISICAO	QR			PIX	323336357
202405	AQUISICAO	TAP			ACCOUNT_MONEY	2283711,38
202405	AQUISICAO	TAP			CREDIT_CARD	142739725,1
202405	AQUISICAO	TAP			DEBIT_CARD	8262149,15
202405	ENGAGEMENT	OP - CHECKOUT			ACCOUNT_MONEY	5847337,23
202405	ENGAGEMENT	OP - CHECKOUT			CREDIT_CARD	165844646,9
202405	ENGAGEMENT	OP - CHECKOUT			DEBIT_CARD	8,89
202405	ENGAGEMENT	OP - CHECKOUT			PIX	216577020
202405	ENGAGEMENT	OP - CHECKOUT			TICKET	14335722
202405	ENGAGEMENT	OP - LINK			ACCOUNT_MONEY	3558448,18
202405	ENGAGEMENT	OP - LINK			CREDIT_CARD	765242968,6
202405	ENGAGEMENT	OP - LINK			DEBIT_CARD	202,35
202405	ENGAGEMENT	OP - LINK			PIX	12743387
202405	ENGAGEMENT	OP - LINK			TICKET	8302827
202405	ENGAGEMENT	POINT			ACCOUNT_MONEY	16704143,83
202405	ENGAGEMENT	POINT			CREDIT_CARD	4408838822
202405	ENGAGEMENT	POINT			DEBIT_CARD	2945934871
202405	ENGAGEMENT	QR			ACCOUNT_MONEY	85460821
202405	ENGAGEMENT	QR			CREDIT_CARD	21804233,05
202405	ENGAGEMENT	QR			DEBIT_CARD	14,02
202405	ENGAGEMENT	QR			PIX	1204906977
202405	ENGAGEMENT	TAP			ACCOUNT_MONEY	64750807,26
202405	ENGAGEMENT	TAP			CREDIT_CARD	127428928,3
202405	ENGAGEMENT	TAP			DEBIT_CARD	7787520,48
202406	AQUISICAO	OP - CHECKOUT			ACCOUNT_MONEY	24786260,95
202406	AQUISICAO	OP - CHECKOUT			CREDIT_CARD	13186052,86
202406	AQUISICAO	OP - CHECKOUT			DEBIT_CARD	1218
202406	AQUISICAO	OP - CHECKOUT			PIX	139624981
202406	AQUISICAO	OP - CHECKOUT			TICKET	1013676,2
202406	AQUISICAO	OP - LINK			ACCOUNT_MONEY	78068387,67
202406	AQUISICAO	OP - LINK			CREDIT_CARD	155623088,6
202406	AQUISICAO	OP - LINK			DEBIT_CARD	26,69
202406	AQUISICAO	OP - LINK			PIX	4789855
202406	AQUISICAO	OP - LINK			TICKET	5148754
202406	AQUISICAO	POINT	CANAIS DIGITAIS	APP	ACCOUNT_MONEY	5638975,38
202406	AQUISICAO	POINT	CANAIS DIGITAIS	APP	CREDIT_CARD	94826783,61
202406	AQUISICAO	POINT	CANAIS DIGITAIS	APP	DEBIT_CARD	54830462
202406	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	ACCOUNT_MONEY	8034960,19
202406	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	CREDIT_CARD	32156000,79
202406	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	DEBIT_CARD	38501660
202406	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	ACCOUNT_MONEY	7877112
202406	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	CREDIT_CARD	59243489,97
202406	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	DEBIT_CARD	41812909
202406	AQUISICAO	POINT	CANAIS DIGITAIS	TO	ACCOUNT_MONEY	8434766,34
202406	AQUISICAO	POINT	CANAIS DIGITAIS	TO	CREDIT_CARD	115952030,7
202406	AQUISICAO	POINT	CANAIS DIGITAIS	TO	DEBIT_CARD	96689178
202406	AQUISICAO	POINT	FDV PROPRIA		ACCOUNT_MONEY	8024834,13
202406	AQUISICAO	POINT	FDV PROPRIA		CREDIT_CARD	163807562,9
202406	AQUISICAO	POINT	FDV PROPRIA		DEBIT_CARD	95224612
202406	AQUISICAO	POINT	FDV TERCEIRA		ACCOUNT_MONEY	6828291,88
202406	AQUISICAO	POINT	FDV TERCEIRA		CREDIT_CARD	71318443,14
202406	AQUISICAO	POINT	FDV TERCEIRA		DEBIT_CARD	56208831
202406	AQUISICAO	POINT	MgM		ACCOUNT_MONEY	10096400,49
202406	AQUISICAO	POINT	MgM		CREDIT_CARD	52104291,51
202406	AQUISICAO	POINT	MgM		DEBIT_CARD	52551148
