BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	bank_transfer	-	-	TPV	1.214.244.230,00	1.109.880.699,00	1.189.543.311,00	1.086.827.170,00	1.136.772.714,00	1.102.372.890,00	1.120.207.093,00	1.160.314.411,00	1.065.721.838,00	1.105.511.513,00	1.137.093.242,00	1.363.148.382,00	1.879.243.122,00	1.640.510.573,00	1.749.207.309,00	1.710.907.194,91	1.727.114.764,90	1.607.637.595,20	1.652.589.844,40	1.633.464.459,50	1.515.610.408,40	1.590.239.153,40	1.559.655.745,00	1.735.441.350,00
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	ticket	-	-	TPV	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	consumer_credits	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	digital_currency	-	-	TPV	5.657.063,24	4.922.593,49	5.821.747,61	4.985.620,62	5.099.436,72	3.604.316,96	2.819.857,18	2.150.358,17	1.764.179,38	1.639.781,55	1.326.873,05	1.087.997,95	1.581.692,84	1.128.587,81	1.360.604,39	1.570.215,98	1.586.304,11	1.477.729,26	1.523.723,96	1.508.325,15	1.399.539,25	1.468.961,44	1.444.630,86	1.614.965,43
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	debit_card	-	-	TPV	3.330,12	4.760,29	4.988,09	3.726,21	6.367,94	6.671,90	5.799,14	4.471,40	3.327,15	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	1x	1x	TPV	6.662.587,57	5.814.142,02	6.065.612,76	6.080.730,80	6.049.319,36	5.493.591,71	5.528.743,65	5.502.753,86	4.876.287,54	4.699.943,36	4.191.776,58	4.316.597,85	5.208.939,58	4.777.626,95	4.857.552,01	5.599.273,46	5.687.006,47	5.326.800,59	5.609.407,13	5.608.396,57	5.204.877,95	5.475.713,31	5.482.493,82	6.315.223,85
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PCJ	2 a 6x	TPV	911.517,78	946.736,41	821.782,59	711.937,93	652.930,32	798.628,23	801.127,55	724.246,80	696.408,44	597.203,00	518.929,85	579.833,77	896.979,20	736.848,38	847.111,25	813.487,93	822.994,95	767.786,07	796.193,00	790.296,07	733.334,84	770.199,41	761.205,53	858.150,21
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PCJ	7 a 12x	TPV	335.749,61	232.639,44	275.590,01	191.710,93	144.386,74	274.524,25	197.965,10	167.117,57	124.800,77	67.217,41	111.580,09	129.539,04	260.392,23	150.754,67	137.265,03	178.637,39	182.084,66	171.168,48	182.716,66	183.835,27	170.628,56	179.766,24	181.979,70	213.357,77
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00	30,54	31,23	29,45	31,82	32,20	29,89	31,53	32,22	38,34
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PSJ	2 a 6x	TPV	794.506,67	630.287,63	742.788,36	666.016,79	1.041.503,72	499.692,77	525.827,85	412.654,77	417.087,66	315.427,51	360.201,06	336.804,70	336.955,88	362.491,90	291.297,16	359.028,63	365.726,47	343.582,11	365.891,21	367.729,95	341.305,29	359.493,58	363.231,84	424.584,64
