BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	YEARMONTH_ID	VERSION_DESC	DEVICE_TAP_TYPE	 VALUE_AMOUNT 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202602	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202603	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202604	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202605	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202606	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202607	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202608	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202609	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202610	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202611	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	202612	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202601	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202602	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202603	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202604	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202605	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202606	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202607	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202608	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202609	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202610	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202611	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	202612	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202601	PLANO V5		 9.753.018,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202602	PLANO V5		 20.300.064,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202603	PLANO V5		 38.595.147,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202604	PLANO V5		 58.160.589,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202605	PLANO V5		 77.311.257,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202606	PLANO V5		 82.863.262,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202607	PLANO V5		 96.635.801,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202608	PLANO V5		 106.510.584,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202609	PLANO V5		 117.557.647,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202610	PLANO V5		 127.039.399,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202611	PLANO V5		 153.713.439,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	202612	PLANO V5		 133.939.796,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202601	PLANO V5		 18.763.649,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202602	PLANO V5		 40.464.337,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202603	PLANO V5		 72.103.282,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202604	PLANO V5		 108.593.821,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202605	PLANO V5		 139.914.268,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202606	PLANO V5		 166.153.542,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202607	PLANO V5		 193.260.082,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202608	PLANO V5		 210.727.995,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202609	PLANO V5		 234.148.328,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202610	PLANO V5		 265.322.990,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202611	PLANO V5		 350.066.232,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	202612	PLANO V5		 273.650.369,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202601	PLANO V5		 13.349.539,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202602	PLANO V5		 28.204.183,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202603	PLANO V5		 49.695.720,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202604	PLANO V5		 74.553.690,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202605	PLANO V5		 96.639.985,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202606	PLANO V5		 114.767.243,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202607	PLANO V5		 133.543.773,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	202608	PLANO V5		 146.168.173,00 
